bank_credit_id,settlement_id,utr,credit_date,amount,currency,bank_status,reference
bnk_EH24010200001,setl_EH2401020001,EH2024010200000001,2024-01-02,13969932,INR,credited,RZP-0200000001
bnk_EH24010300002,setl_EH2401030002,EH2024010300000002,2024-01-03,26580777,INR,credited,RZP-0300000002
bnk_EH24010400003,setl_EH2401040003,EH2024010400000003,2024-01-04,15567651,INR,credited,RZP-0400000003
bnk_EH24010500004,setl_EH2401050004,EH2024010500000004,2024-01-05,21706735,INR,credited,RZP-0500000004
bnk_EH24010700005,setl_EH2401070005,EH2024010700000005,2024-01-07,22634768,INR,credited,RZP-0700000005
bnk_EH24010800006,setl_EH2401080006,EH2024010800000006,2024-01-08,16761759,INR,credited,RZP-0800000006
bnk_EH24010900007,setl_EH2401090007,EH2024010900000007,2024-01-09,54254569,INR,credited,RZP-0900000007
bnk_EH24011000008,setl_EH2401100008,EH2024011000000008,2024-01-10,8625890,INR,credited,RZP-1000000008
bnk_EH24011100009,setl_EH2401110009,EH2024011100000009,2024-01-11,14685119,INR,credited,RZP-1100000009
bnk_EH24011200010,setl_EH2401120010,EH2024011200000010,2024-01-12,24439435,INR,credited,RZP-1200000010
bnk_EH24011400011,setl_EH2401140011,EH2024011400000011,2024-01-14,13965776,INR,credited,RZP-1400000011
bnk_EH24011500012,setl_EH2401150012,EH2024011500000012,2024-01-15,26606309,INR,credited,RZP-1500000012
bnk_EH24011600013,setl_EH2401160013,EH2024011600000013,2024-01-16,54359312,INR,credited,RZP-1600000013
bnk_EH24011700014,setl_EH2401170014,EH2024011700000014,2024-01-17,22773907,INR,credited,RZP-1700000014
bnk_EH24011800015,setl_EH2401180015,EH2024011800000015,2024-01-18,16314379,INR,credited,RZP-1800000015
bnk_EH24011900016,setl_EH2401190016,EH2024011900000016,2024-01-19,23190913,INR,credited,RZP-1900000016
bnk_EH24012100017,setl_EH2401210017,EH2024012100000017,2024-01-21,20506127,INR,credited,RZP-2100000017
bnk_EH24012200018,setl_EH2401220018,EH2024012200000018,2024-01-22,25825006,INR,credited,RZP-2200000018
bnk_EH24012300019,setl_EH2401230019,EH2024012300000019,2024-01-23,41614215,INR,credited,RZP-2300000019
bnk_EH24012400020,setl_EH2401240020,EH2024012400000020,2024-01-24,18860293,INR,credited,RZP-2400000020
bnk_EH24012500021,setl_EH2401250021,EH2024012500000021,2024-01-25,16940605,INR,credited,RZP-2500000021
bnk_EH24012600022,setl_EH2401260022,EH2024012600000022,2024-01-26,8030699,INR,credited,RZP-2600000022
bnk_EH24012800023,setl_EH2401280023,EH2024012800000023,2024-01-28,18568595,INR,credited,RZP-2800000023
bnk_EH24012900024,setl_EH2401290024,EH2024012900000024,2024-01-29,15437729,INR,credited,RZP-2900000024
bnk_EH24013000025,setl_EH2401300025,EH2024013000000025,2024-01-30,37891122,INR,credited,RZP-3000000025
bnk_EH24013100026,setl_EH2401310026,EH2024013100000026,2024-01-31,35095440,INR,credited,RZP-3100000026
bnk_EH24020100027,setl_EH2402010027,EH2024020100000027,2024-02-01,18840366,INR,credited,RZP-0100000027
bnk_EH24020200028,setl_EH2402020028,EH2024020200000028,2024-02-02,11233099,INR,credited,RZP-0200000028
bnk_EH24020400029,setl_EH2402040029,EH2024020400000029,2024-02-04,20271223,INR,credited,RZP-0400000029
bnk_EH24020500030,setl_EH2402050030,EH2024020500000030,2024-02-05,12539159,INR,credited,RZP-0500000030
bnk_EH24020600031,setl_EH2402060031,EH2024020600000031,2024-02-06,40995810,INR,credited,RZP-0600000031
bnk_EH24020700032,setl_EH2402070032,EH2024020700000032,2024-02-07,16119474,INR,credited,RZP-0700000032
bnk_EH24020800033,setl_EH2402080033,EH2024020800000033,2024-02-08,24511721,INR,credited,RZP-0800000033
