month,transaction_count,gross_payment_volume,razorpay_fee_total,refund_total,currency
2024-01,802,6651390.00,119724.58,162690.00,INR
2024-02,788,5984240.00,107715.76,241640.00,INR
2024-03,826,6064170.00,109154.55,225220.00,INR
2024-04,889,7257330.00,130631.57,258430.00,INR
2024-05,938,7492800.00,134869.99,244820.00,INR
2024-06,862,7013450.00,126241.59,254190.00,INR
2024-07,794,5957800.00,107239.93,191340.00,INR
2024-08,892,7025370.00,126456.32,252170.00,INR
2024-09,913,6713870.00,120849.22,300550.00,INR
2024-10,857,6448400.00,116070.71,278370.00,INR
2024-11,944,7627710.00,137298.32,225960.00,INR
2024-12,1069,8493890.00,152889.51,445500.00,INR
2025-01,946,7624150.00,137234.06,313630.00,INR
2025-02,925,6968520.00,125432.80,285450.00,INR
2025-03,1008,7702150.00,138638.23,337880.00,INR
2025-04,1024,7612910.00,137031.83,396740.00,INR
2025-05,1007,7570950.00,136276.61,184050.00,INR
2025-06,989,7500570.00,135009.73,517600.00,INR
2025-07,1064,8540840.00,153734.47,269830.00,INR
2025-08,1020,7688290.00,138388.65,235330.00,INR
2025-09,1045,7891910.00,142053.87,319130.00,INR
2025-10,1033,7881730.00,141870.66,313270.00,INR
2025-11,1114,8278690.00,149015.95,312960.00,INR
2025-12,1260,9766180.00,175790.61,219950.00,INR
2026-01,975,7294640.00,131302.93,277140.00,INR
2026-02,1069,8036100.00,144649.22,202360.00,INR
2026-03,1075,8100380.00,145806.29,324220.00,INR
2026-04,1223,9120910.00,164175.86,332490.00,INR
2026-05,1248,2490000.00,57269.37,138066.97,INR
2026-06,1130,9105250.00,163893.92,256167.08,INR
2026-07,1162,8963920.00,161349.91,307670.00,INR
2026-08,1195,9110700.00,163992.02,386340.00,INR
2026-09,0,0.00,0.00,66150.00,INR
