id,entity,amount,currency,payment_id,created_at,batch_id,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_EH24011200004,refund,548000,INR,pay_EH24010100004,1705069980,,rcpt_10100004,processed,normal,normal,UTR24011200000004,,
rfnd_EH24012200006,refund,66000,INR,pay_EH24011800006,1705932660,,rcpt_11800006,processed,normal,normal,UTR24012200000006,,
rfnd_EH24011100069,refund,76000,INR,pay_EH24010300069,1704983940,,rcpt_10300069,pending,normal,normal,UTR24011100000069,,
rfnd_EH24011100108,refund,167000,INR,pay_EH24010100108,1704983340,,rcpt_10100108,processed,normal,normal,UTR24011100000108,,
rfnd_EH24012000116,refund,1181000,INR,pay_EH24011100116,1705760700,,rcpt_11100116,processed,normal,normal,UTR24012000000116,,
rfnd_EH24011200163,refund,515000,INR,pay_EH24010600164,1705068780,,rcpt_10600164,processed,normal,normal,UTR24011200000163,,
rfnd_EH24011400187,refund,263000,INR,pay_EH24011300188,1705243140,,rcpt_11300188,processed,normal,normal,UTR24011400000187,,
rfnd_EH24020700265,refund,276000,INR,pay_EH24012700267,1707316020,,rcpt_12700267,processed,normal,normal,UTR24020700000265,,
rfnd_EH24012900278,refund,131000,INR,pay_EH24012400280,1706537400,,rcpt_12400280,processed,normal,normal,UTR24012900000278,,
rfnd_EH24011100293,refund,461000,INR,pay_EH24010100295,1704984600,,rcpt_10100295,processed,normal,normal,UTR24011100000293,,
rfnd_EH24010600296,refund,246000,INR,pay_EH24010500298,1704552720,,rcpt_10500298,processed,normal,normal,UTR24010600000296,,
rfnd_EH24020600310,refund,423000,INR,pay_EH24013000313,1707228840,,rcpt_13000313,processed,normal,normal,UTR24020600000310,,
rfnd_EH24011800311,refund,148000,INR,pay_EH24011300314,1705588980,,rcpt_11300314,processed,normal,normal,UTR24011800000311,,
rfnd_EH24013100320,refund,669000,INR,pay_EH24012600323,1706713020,,rcpt_12600323,processed,normal,normal,UTR24013100000320,,
rfnd_EH24010500321,refund,403000,INR,pay_EH24010100324,1704463320,,rcpt_10100324,processed,normal,normal,UTR24010500000321,,
rfnd_EH24010900350,refund,161000,INR,pay_EH24010100353,1704810360,,rcpt_10100353,processed,normal,normal,UTR24010900000350,,
rfnd_EH24013000359,refund,1156000,INR,pay_EH24012900362,1706624880,,rcpt_12900362,processed,normal,normal,UTR24013000000359,,
rfnd_EH24011600402,refund,356000,INR,pay_EH24011000405,1705413720,,rcpt_11000405,processed,normal,normal,UTR24011600000402,,
rfnd_EH24010700418,refund,564000,INR,pay_EH24010600421,1704638460,,rcpt_10600421,processed,normal,normal,UTR24010700000418,,
rfnd_EH24012700425,refund,500000,INR,pay_EH24012600428,1706366640,,rcpt_12600428,processed,normal,normal,UTR24012700000425,,
rfnd_EH24013000454,refund,73000,INR,pay_EH24012700458,1706626740,,rcpt_12700458,processed,normal,normal,UTR24013000000454,,
rfnd_EH24012500476,refund,266000,INR,pay_EH24012400481,1706192820,,rcpt_12400481,processed,normal,normal,UTR24012500000476,,
rfnd_EH24013000496,refund,408000,INR,pay_EH24011800501,1706625600,,rcpt_11800501,processed,normal,normal,UTR24013000000496,,
rfnd_EH24020600508,refund,889000,INR,pay_EH24012600513,1707230460,,rcpt_12600513,processed,normal,normal,UTR24020600000508,,
rfnd_EH24011600523,refund,442000,INR,pay_EH24011200528,1705413840,,rcpt_11200528,processed,normal,normal,UTR24011600000523,,
rfnd_EH24012000532,refund,607000,INR,pay_EH24011000537,1705760940,,rcpt_11000537,processed,normal,normal,UTR24012000000532,,
rfnd_EH24011800561,refund,3285000,INR,pay_EH24011500566,1705589160,,rcpt_11500566,processed,normal,normal,UTR24011800000561,,
rfnd_EH24012200569,refund,1208000,INR,pay_EH24011000574,1705934100,,rcpt_11000574,processed,normal,normal,UTR24012200000569,,
rfnd_EH24011800577,refund,363000,INR,pay_EH24011300582,1705588800,,rcpt_11300582,processed,normal,normal,UTR24011800000577,,
rfnd_EH24012600579,refund,60000,INR,pay_EH24012200584,1706278440,,rcpt_12200584,processed,normal,normal,UTR24012600000579,,
rfnd_EH24012900645,refund,49000,INR,pay_EH24012000650,1706537400,,rcpt_12000650,processed,normal,normal,UTR24012900000645,,
rfnd_EH24012000647,refund,245000,INR,pay_EH24011400652,1705761840,,rcpt_11400652,processed,normal,normal,UTR24012000000647,,
rfnd_EH24011100657,refund,371000,INR,pay_EH24010700662,1704983880,,rcpt_10700662,processed,normal,normal,UTR24011100000657,,
rfnd_EH24020800680,refund,817000,INR,pay_EH24013000685,1707402780,,rcpt_13000685,processed,normal,normal,UTR24020800000680,,
rfnd_EH24011700685,refund,90000,INR,pay_EH24011100690,1705502280,,rcpt_11100690,processed,normal,normal,UTR24011700000685,,
rfnd_EH24013000701,refund,291000,INR,pay_EH24012100706,1706623320,,rcpt_12100706,processed,normal,normal,UTR24013000000701,,
rfnd_EH24020100723,refund,125000,INR,pay_EH24013000728,1706798460,,rcpt_13000728,processed,normal,normal,UTR24020100000723,,
rfnd_EH24012200727,refund,124000,INR,pay_EH24011800732,1705932180,,rcpt_11800732,processed,normal,normal,UTR24012200000727,,
rfnd_EH24011200739,refund,115000,INR,pay_EH24011100744,1705068000,,rcpt_11100744,processed,normal,normal,UTR24011200000739,,
rfnd_EH24012800754,refund,57000,INR,pay_EH24011700759,1706452560,,rcpt_11700759,processed,normal,normal,UTR24012800000754,,
rfnd_EH24020800758,refund,290000,INR,pay_EH24012700763,1707404340,,rcpt_12700763,processed,normal,normal,UTR24020800000758,,
rfnd_EH24011400782,refund,77000,INR,pay_EH24010800787,1705242060,,rcpt_10800787,processed,normal,normal,UTR24011400000782,,
rfnd_EH24011600796,refund,527000,INR,pay_EH24010700801,1705413900,,rcpt_10700801,processed,normal,normal,UTR24011600000796,,
rfnd_EH24022100802,refund,43000,INR,pay_EH24021700005,1708527480,,rcpt_21700005,processed,normal,normal,UTR24022100000802,,
rfnd_EH24020600807,refund,638000,INR,pay_EH24020400010,1707229800,,rcpt_20400010,processed,normal,normal,UTR24020600000807,,
rfnd_EH24022500829,refund,78000,INR,pay_EH24022200032,1708872600,,rcpt_22200032,processed,normal,normal,UTR24022500000829,,
rfnd_EH24022300832,refund,142000,INR,pay_EH24021700035,1708697280,,rcpt_21700035,processed,normal,normal,UTR24022300000832,,
rfnd_EH24022400837,refund,539000,INR,pay_EH24021500040,1708785420,,rcpt_21500040,processed,normal,normal,UTR24022400000837,,
rfnd_EH24021400852,refund,296000,INR,pay_EH24020900055,1707920820,,rcpt_20900055,processed,normal,normal,UTR24021400000852,,
rfnd_EH24020400859,refund,448000,INR,pay_EH24020100062,1707055680,,rcpt_20100062,processed,normal,normal,UTR24020400000859,,
rfnd_EH24022600920,refund,93000,INR,pay_EH24021500123,1708959300,,rcpt_21500123,processed,normal,normal,UTR24022600000920,,
rfnd_EH24030600924,refund,86000,INR,pay_EH24022700127,1709735460,,rcpt_22700127,processed,normal,normal,UTR24030600000924,,
rfnd_EH24022400953,refund,267000,INR,pay_EH24021500156,1708785000,,rcpt_21500156,processed,normal,normal,UTR24022400000953,,
rfnd_EH24030100958,refund,774000,INR,pay_EH24022600161,1709302680,,rcpt_22600161,processed,normal,normal,UTR24030100000958,,
rfnd_EH24021000970,refund,44000,INR,pay_EH24020700173,1707575160,,rcpt_20700173,processed,normal,normal,UTR24021000000970,,
rfnd_EH24021500975,refund,1023000,INR,pay_EH24020800178,1708006800,,rcpt_20800178,processed,normal,normal,UTR24021500000975,,
rfnd_EH24022800989,refund,1077000,INR,pay_EH24021600192,1709131800,,rcpt_21600192,processed,normal,normal,UTR24022800000989,,
rfnd_EH24021001002,refund,263000,INR,pay_EH24020600205,1707574440,,rcpt_20600205,processed,normal,normal,UTR24021000001002,,
rfnd_EH24022801047,refund,831000,INR,pay_EH24022100250,1709129100,,rcpt_22100250,processed,normal,normal,UTR24022800001047,,
rfnd_EH24021401067,refund,289000,INR,pay_EH24020200270,1707921120,,rcpt_20200270,processed,normal,normal,UTR24021400001067,,
rfnd_EH24022201082,refund,245000,INR,pay_EH24021600285,1708612620,,rcpt_21600285,processed,normal,normal,UTR24022200001082,,
rfnd_EH24030101096,refund,76000,INR,pay_EH24022200300,1709302140,,rcpt_22200300,processed,normal,normal,UTR24030100001096,,
rfnd_EH24021001106,refund,133000,INR,pay_EH24020200310,1707575700,,rcpt_20200310,processed,normal,normal,UTR24021000001106,,
rfnd_EH24021401122,refund,324000,INR,pay_EH24020500327,1707919740,,rcpt_20500327,processed,normal,normal,UTR24021400001122,,
rfnd_EH24030101138,refund,63000,INR,pay_EH24022200343,1709303580,,rcpt_22200343,processed,normal,normal,UTR24030100001138,,
rfnd_EH24022501141,refund,60000,INR,pay_EH24022000346,1708872720,,rcpt_22000346,processed,normal,normal,UTR24022500001141,,
rfnd_EH24030101162,refund,149000,INR,pay_EH24022200368,1709304780,,rcpt_22200368,processed,normal,normal,UTR24030100001162,,
rfnd_EH24021801164,refund,1407000,INR,pay_EH24021200370,1708266900,,rcpt_21200370,processed,normal,normal,UTR24021800001164,,
rfnd_EH24031001167,refund,98000,INR,pay_EH24022700373,1710079260,,rcpt_22700373,processed,normal,normal,UTR24031000001167,,
rfnd_EH24022601182,refund,619000,INR,pay_EH24021900389,1708956420,,rcpt_21900389,processed,normal,normal,UTR24022600001182,,
rfnd_EH24022301242,refund,672000,INR,pay_EH24021200450,1708697640,,rcpt_21200450,processed,normal,normal,UTR24022300001242,,
rfnd_EH24021801270,refund,440000,INR,pay_EH24020900478,1708266000,,rcpt_20900478,processed,normal,normal,UTR24021800001270,,
rfnd_EH24030201284,refund,87000,INR,pay_EH24022100492,1709390940,,rcpt_22100492,processed,normal,normal,UTR24030200001284,,
rfnd_EH24021801307,refund,559000,INR,pay_EH24020900515,1708266180,,rcpt_20900515,processed,normal,normal,UTR24021800001307,,
rfnd_EH24030801369,refund,286000,INR,pay_EH24022900578,1709907780,,rcpt_22900578,processed,normal,normal,UTR24030800001369,,
rfnd_EH24022501390,refund,724000,INR,pay_EH24021800601,1708871940,,rcpt_21800601,processed,normal,normal,UTR24022500001390,,
rfnd_EH24021601393,refund,317000,INR,pay_EH24021400604,1708094040,,rcpt_21400604,processed,normal,normal,UTR24021600001393,,
rfnd_EH24030701395,refund,779000,INR,pay_EH24022900606,1709821380,,rcpt_22900606,processed,normal,normal,UTR24030700001395,,
rfnd_EH24022101398,refund,92000,INR,pay_EH24021600609,1708526040,,rcpt_21600609,processed,normal,normal,UTR24022100001398,,
rfnd_EH24022601399,refund,719000,INR,pay_EH24022300610,1708956540,,rcpt_22300610,processed,normal,normal,UTR24022600001399,,
rfnd_EH24021401425,refund,372000,INR,pay_EH24020500637,1707920280,,rcpt_20500637,processed,normal,normal,UTR24021400001425,,
rfnd_EH24022101428,refund,82000,INR,pay_EH24021300640,1708526220,,rcpt_21300640,processed,normal,normal,UTR24022100001428,,
rfnd_EH24030901443,refund,213000,INR,pay_EH24022800655,1709994540,,rcpt_22800655,processed,normal,normal,UTR24030900001443,,
rfnd_EH24031201447,refund,252000,INR,pay_EH24022900659,1710255420,,rcpt_22900659,processed,normal,normal,UTR24031200001447,,
rfnd_EH24030101469,refund,225000,INR,pay_EH24022200681,1709302980,,rcpt_22200681,processed,normal,normal,UTR24030100001469,,
rfnd_EH24020801470,refund,747000,INR,pay_EH24020200682,1707404100,,rcpt_20200682,processed,normal,normal,UTR24020800001470,,
rfnd_EH24022601472,refund,842000,INR,pay_EH24022500684,1708956600,,rcpt_22500684,processed,normal,normal,UTR24022600001472,,
rfnd_EH24030201483,refund,63000,INR,pay_EH24022300695,1709391540,,rcpt_22300695,processed,normal,normal,UTR24030200001483,,
rfnd_EH24020901545,refund,748000,INR,pay_EH24020500757,1707489120,,rcpt_20500757,processed,normal,normal,UTR24020900001545,,
rfnd_EH24022401550,refund,3270000,INR,pay_EH24022000762,1708785000,,rcpt_22000762,processed,normal,normal,UTR24022400001550,,
rfnd_EH24021401564,refund,2750000,INR,pay_EH24020800776,1707921540,,rcpt_20800776,processed,normal,normal,UTR24021400001564,,
rfnd_EH24021201573,refund,151000,INR,pay_EH24021100785,1707748320,,rcpt_21100785,processed,normal,normal,UTR24021200001573,,
rfnd_EH24032701598,refund,918000,INR,pay_EH24032100022,1711550220,,rcpt_32100022,processed,normal,normal,UTR24032700001598,,
rfnd_EH24040601633,refund,124000,INR,pay_EH24032600057,1712414520,,rcpt_32600057,processed,normal,normal,UTR24040600001633,,
rfnd_EH24031801671,refund,73000,INR,pay_EH24031700095,1710773700,,rcpt_31700095,processed,normal,normal,UTR24031800001671,,
