id,entity,amount,status,fees,tax,utr,created_at,settlement_date,payment_count,refund_adjustment
setl_EH2401020001,settlement,13969932,processed,256067,0,EH2024010200000001,1704216600,2024-01-02,18,0
setl_EH2401030002,settlement,26580777,processed,487222,0,EH2024010300000002,1704303000,2024-01-03,26,0
setl_EH2401040003,settlement,15567651,processed,285349,0,EH2024010400000003,1704389400,2024-01-04,26,0
setl_EH2401050004,settlement,21706735,processed,405265,0,EH2024010500000004,1704475800,2024-01-05,25,4030.0
setl_EH2401070005,settlement,22634768,processed,425232,0,EH2024010700000005,1704648600,2024-01-07,26,5640.0
setl_EH2401080006,settlement,16761759,processed,307241,0,EH2024010800000006,1704735000,2024-01-08,23,0
setl_EH2401090007,settlement,54254569,processed,997429,0,EH2024010900000007,1704821400,2024-01-09,60,1610.0
setl_EH2401100008,settlement,8625890,processed,158110,0,EH2024011000000008,1704907800,2024-01-10,16,0
setl_EH2401110009,settlement,14685119,processed,288881,0,EH2024011100000009,1704994200,2024-01-11,28,10750.0
setl_EH2401120010,settlement,24439435,processed,469564,0,EH2024011200000010,1705080600,2024-01-12,25,11780.0
setl_EH2401140011,settlement,13965776,processed,262223,0,EH2024011400000011,1705253400,2024-01-14,23,3400.0
setl_EH2401150012,settlement,26606309,processed,487691,0,EH2024011500000012,1705339800,2024-01-15,33,0
setl_EH2401160013,settlement,54359312,processed,1020687,0,EH2024011600000013,1705426200,2024-01-16,51,13250.0
setl_EH2401170014,settlement,22773907,processed,419093,0,EH2024011700000014,1705512600,2024-01-17,31,900.0
setl_EH2401180015,settlement,16314379,processed,368620,0,EH2024011800000015,1705599000,2024-01-18,26,37960.0
setl_EH2401190016,settlement,23190913,processed,425087,0,EH2024011900000016,1705685400,2024-01-19,28,0
setl_EH2401210017,settlement,20506127,processed,375873,0,EH2024012100000017,1705858200,2024-01-21,32,0
setl_EH2401220018,settlement,25825006,processed,498994,0,EH2024012200000018,1705944600,2024-01-22,23,13980.0
setl_EH2401230019,settlement,41614215,processed,762785,0,EH2024012300000019,1706031000,2024-01-23,50,0
setl_EH2401240020,settlement,18860293,processed,345707,0,EH2024012400000020,1706117400,2024-01-24,27,0
setl_EH2401250021,settlement,16940605,processed,315395,0,EH2024012500000021,1706203800,2024-01-25,23,2660.0
setl_EH2401260022,settlement,8030699,processed,148301,0,EH2024012600000022,1706290200,2024-01-26,17,600.0
setl_EH2401280023,settlement,18568595,processed,341405,0,EH2024012800000023,1706463000,2024-01-28,32,570.0
setl_EH2401290024,settlement,15437729,processed,286271,0,EH2024012900000024,1706549400,2024-01-29,24,1800.0
setl_EH2401300025,settlement,37891122,processed,729878,0,EH2024013000000025,1706635800,2024-01-30,59,19280.0
setl_EH2401310026,settlement,35095440,processed,655560,0,EH2024013100000026,1706722200,2024-01-31,27,6690.0
setl_EH2402010027,settlement,18840366,processed,347634,0,EH2024020100000027,1706808600,2024-02-01,18,1250.0
setl_EH2402020028,settlement,11233099,processed,205901,0,EH2024020200000028,1706895000,2024-02-02,18,0
setl_EH2402040029,settlement,20271223,processed,379777,0,EH2024020400000029,1707067800,2024-02-04,30,4480.0
setl_EH2402050030,settlement,12539159,processed,229841,0,EH2024020500000030,1707154200,2024-02-05,23,0
setl_EH2402060031,settlement,40995810,processed,787190,0,EH2024020600000031,1707240600,2024-02-06,58,19500.0
setl_EH2402070032,settlement,16119474,processed,300526,0,EH2024020700000032,1707327000,2024-02-07,30,2760.0
setl_EH2402080033,settlement,24511721,processed,483279,0,EH2024020800000033,1707413400,2024-02-08,31,18540.0
setl_EH2402090034,settlement,23949301,processed,452699,0,EH2024020900000034,1707499800,2024-02-09,25,7480.0
setl_EH2402110035,settlement,25555570,processed,468430,0,EH2024021100000035,1707672600,2024-02-11,36,0
setl_EH2402120036,settlement,20715521,processed,382479,0,EH2024021200000036,1707759000,2024-02-12,22,1510.0
setl_EH2402130037,settlement,44917665,processed,823335,0,EH2024021300000037,1707845400,2024-02-13,58,0
setl_EH2402140038,settlement,18694445,processed,416555,0,EH2024021400000038,1707931800,2024-02-14,26,40310.0
setl_EH2402150039,settlement,21459892,processed,412108,0,EH2024021500000039,1708018200,2024-02-15,27,10230.0
setl_EH2402160040,settlement,12111193,processed,227807,0,EH2024021600000040,1708104600,2024-02-16,24,3170.0
setl_EH2402180041,settlement,20596368,processed,421632,0,EH2024021800000041,1708277400,2024-02-18,27,24060.0
