id,entity,amount,currency,payment_id,created_at,created_date,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_2025_H1_001,refund,167100,INR,pay_2025_H1_14073,1746987343,2025-05-11,rcpt_2025_H1_rf_001,processed,normal,normal,UTR_2025_H1_RF_001,,
rfnd_2025_H1_002,refund,47000,INR,pay_2025_H1_10222,1745722278,2025-04-27,rcpt_2025_H1_rf_002,processed,normal,normal,UTR_2025_H1_RF_002,,
rfnd_2025_H1_003,refund,1137000,INR,pay_2025_H1_17303,1752080956,2025-07-09,rcpt_2025_H1_rf_003,processed,normal,normal,UTR_2025_H1_RF_003,,
rfnd_2025_H1_004,refund,753500,INR,pay_2025_H1_15341,1751462715,2025-07-02,rcpt_2025_H1_rf_004,processed,normal,normal,UTR_2025_H1_RF_004,,
rfnd_2025_H1_005,refund,289000,INR,pay_2025_H1_10960,1745488941,2025-04-24,rcpt_2025_H1_rf_005,processed,normal,normal,UTR_2025_H1_RF_005,,
rfnd_2025_H1_006,refund,157600,INR,pay_2025_H1_17788,1750967485,2025-06-26,rcpt_2025_H1_rf_006,processed,normal,normal,UTR_2025_H1_RF_006,,
rfnd_2025_H1_007,refund,923000,INR,pay_2025_H1_06510,1742458729,2025-03-20,rcpt_2025_H1_rf_007,processed,normal,normal,UTR_2025_H1_RF_007,,
rfnd_2025_H1_008,refund,71400,INR,pay_2025_H1_02664,1736535869,2025-01-10,rcpt_2025_H1_rf_008,processed,normal,normal,UTR_2025_H1_RF_008,,
rfnd_2025_H1_009,refund,306900,INR,pay_2025_H1_10379,1745127965,2025-04-20,rcpt_2025_H1_rf_009,processed,normal,normal,UTR_2025_H1_RF_009,,
rfnd_2025_H1_010,refund,3952000,INR,pay_2025_H1_09010,1743865664,2025-04-05,rcpt_2025_H1_rf_010,processed,normal,normal,UTR_2025_H1_RF_010,,
rfnd_2025_H1_011,refund,1636900,INR,pay_2025_H1_01200,1738272795,2025-01-30,rcpt_2025_H1_rf_011,processed,normal,normal,UTR_2025_H1_RF_011,,
rfnd_2025_H1_012,refund,1537800,INR,pay_2025_H1_07482,1741358440,2025-03-07,rcpt_2025_H1_rf_012,processed,normal,normal,UTR_2025_H1_RF_012,,
rfnd_2025_H1_013,refund,373400,INR,pay_2025_H1_09693,1745825000,2025-04-28,rcpt_2025_H1_rf_013,processed,normal,normal,UTR_2025_H1_RF_013,,
rfnd_2025_H1_014,refund,168900,INR,pay_2025_H1_03243,1741512494,2025-03-09,rcpt_2025_H1_rf_014,processed,normal,normal,UTR_2025_H1_RF_014,,
rfnd_2025_H1_015,refund,1330500,INR,pay_2025_H1_08782,1743517432,2025-04-01,rcpt_2025_H1_rf_015,processed,normal,normal,UTR_2025_H1_RF_015,,
rfnd_2025_H1_016,refund,323500,INR,pay_2025_H1_05999,1741710290,2025-03-11,rcpt_2025_H1_rf_016,processed,normal,normal,UTR_2025_H1_RF_016,,
rfnd_2025_H1_017,refund,155700,INR,pay_2025_H1_05337,1739500760,2025-02-14,rcpt_2025_H1_rf_017,processed,normal,normal,UTR_2025_H1_RF_017,,
rfnd_2025_H1_018,refund,809500,INR,pay_2025_H1_08449,1743721675,2025-04-03,rcpt_2025_H1_rf_018,processed,normal,normal,UTR_2025_H1_RF_018,,
rfnd_2025_H1_019,refund,781600,INR,pay_2025_H1_08835,1743389752,2025-03-31,rcpt_2025_H1_rf_019,processed,normal,normal,UTR_2025_H1_RF_019,,
rfnd_2025_H1_020,refund,2117900,INR,pay_2025_H1_15324,1750445772,2025-06-20,rcpt_2025_H1_rf_020,processed,normal,normal,UTR_2025_H1_RF_020,,
rfnd_2025_H1_021,refund,1490800,INR,pay_2025_H1_16085,1750464163,2025-06-21,rcpt_2025_H1_rf_021,processed,normal,normal,UTR_2025_H1_RF_021,,
rfnd_2025_H1_022,refund,649600,INR,pay_2025_H1_16556,1751074236,2025-06-28,rcpt_2025_H1_rf_022,processed,normal,normal,UTR_2025_H1_RF_022,,
rfnd_2025_H1_023,refund,430700,INR,pay_2025_H1_11165,1746469059,2025-05-05,rcpt_2025_H1_rf_023,processed,normal,normal,UTR_2025_H1_RF_023,,
rfnd_2025_H1_024,refund,435300,INR,pay_2025_H1_09294,1744425634,2025-04-12,rcpt_2025_H1_rf_024,processed,normal,normal,UTR_2025_H1_RF_024,,
rfnd_2025_H1_025,refund,98700,INR,pay_2025_H1_04527,1739817891,2025-02-17,rcpt_2025_H1_rf_025,processed,normal,normal,UTR_2025_H1_RF_025,,
rfnd_2025_H1_026,refund,214000,INR,pay_2025_H1_06384,1742018640,2025-03-15,rcpt_2025_H1_rf_026,processed,normal,normal,UTR_2025_H1_RF_026,,
rfnd_2025_H1_027,refund,669300,INR,pay_2025_H1_01887,1737214253,2025-01-18,rcpt_2025_H1_rf_027,processed,normal,normal,UTR_2025_H1_RF_027,,
rfnd_2025_H1_028,refund,2966100,INR,pay_2025_H1_02308,1737799196,2025-01-25,rcpt_2025_H1_rf_028,processed,normal,normal,UTR_2025_H1_RF_028,,
rfnd_2025_H1_029,refund,145300,INR,pay_2025_H1_07297,1743626347,2025-04-02,rcpt_2025_H1_rf_029,processed,normal,normal,UTR_2025_H1_RF_029,,
