id,entity,amount,currency,status,order_id,invoice_id,description,method,captured,refund_status,amount_refunded,fee,tax,created_at,created_date,contract_fee_rate,applied_fee_rate,anomaly_type,base_fee
pay_2026_H2_01955,payment,2503854,INR,captured,order_2026_H2_01955,inv_2026_H2_01955,Online lifestyle order,upi,true,null,0,57589,0,1782889431,2026-07-01,0.018,0.023,fee_rate_increase,450.69
pay_2026_H2_02394,payment,1938686,INR,captured,order_2026_H2_02394,inv_2026_H2_02394,Seasonal festival purchase,upi,true,null,0,34896,0,1782890327,2026-07-01,0.018,0.018,,348.96
pay_2026_H2_00805,payment,3094848,INR,captured,order_2026_H2_00805,inv_2026_H2_00805,Fashion & apparel order,netbanking,true,null,0,71182,0,1782892659,2026-07-01,0.018,0.023,fee_rate_increase,557.07
pay_2026_H2_02637,payment,1555941,INR,captured,order_2026_H2_02637,inv_2026_H2_02637,Health & wellness kit,upi,true,null,0,28007,0,1782892845,2026-07-01,0.018,0.018,,280.07
pay_2026_H2_02511,payment,290770,INR,captured,order_2026_H2_02511,inv_2026_H2_02511,Fashion & apparel order,upi,true,null,0,5234,0,1782894286,2026-07-01,0.018,0.018,,52.34
pay_2026_H2_00456,payment,2104730,INR,captured,order_2026_H2_00456,inv_2026_H2_00456,Baby & kids care set,upi,true,null,0,48409,0,1782894337,2026-07-01,0.018,0.023,fee_rate_increase,378.85
pay_2026_H2_00846,payment,470457,INR,captured,order_2026_H2_00846,inv_2026_H2_00846,Office lifestyle gear,netbanking,true,null,0,10821,0,1782894690,2026-07-01,0.018,0.023,fee_rate_increase,84.68
pay_2026_H2_01606,payment,479184,INR,captured,order_2026_H2_01606,inv_2026_H2_01606,Baby & kids care set,upi,true,null,0,11021,0,1782894773,2026-07-01,0.018,0.023,fee_rate_increase,86.25
pay_2026_H2_01244,payment,1929577,INR,captured,order_2026_H2_01244,inv_2026_H2_01244,Kitchen accessories bundle,upi,true,null,0,44380,0,1782895672,2026-07-01,0.018,0.023,fee_rate_increase,347.32
pay_2026_H2_00361,payment,1323097,INR,captured,order_2026_H2_00361,inv_2026_H2_00361,Kitchen accessories bundle,upi,true,null,0,30431,0,1782896031,2026-07-01,0.018,0.023,fee_rate_increase,238.16
pay_2026_H2_01241,payment,597993,INR,captured,order_2026_H2_01241,inv_2026_H2_01241,Seasonal festival purchase,card,true,null,0,13754,0,1782897267,2026-07-01,0.018,0.023,fee_rate_increase,107.64
