entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,payment_id,order_id,method,anomaly_type
pay_2024_H1_00056,payment,0,585999,585999,INR,10548,0,false,true,1704098314,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00056,order_2024_H1_00056,upi,
pay_2024_H1_00061,payment,0,822849,822849,INR,14811,0,false,true,1704110344,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00061,order_2024_H1_00061,netbanking,
pay_2024_H1_00071,payment,0,837598,837598,INR,15077,0,false,true,1704125314,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00071,order_2024_H1_00071,upi,
pay_2024_H1_00072,payment,0,1609193,1609193,INR,28965,0,false,true,1704125730,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00072,order_2024_H1_00072,upi,
pay_2024_H1_00134,payment,0,1937886,1937886,INR,34882,0,false,true,1704121666,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00134,order_2024_H1_00134,upi,
pay_2024_H1_00139,payment,0,387031,387031,INR,6967,0,false,true,1704148207,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00139,order_2024_H1_00139,card,
pay_2024_H1_00181,payment,0,1199825,1199825,INR,21597,0,false,true,1704115421,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00181,order_2024_H1_00181,upi,
pay_2024_H1_00186,payment,0,2964484,2964484,INR,53361,0,false,true,1704119353,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00186,order_2024_H1_00186,upi,
pay_2024_H1_00233,payment,0,498832,498832,INR,8979,0,false,true,1704121310,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00233,order_2024_H1_00233,card,
pay_2024_H1_00312,payment,0,2355345,2355345,INR,42396,0,false,true,1704130793,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00312,order_2024_H1_00312,upi,
pay_2024_H1_00329,payment,0,212600,212600,INR,3827,0,false,true,1704135639,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00329,order_2024_H1_00329,wallet,
pay_2024_H1_00358,payment,0,5515114,5515114,INR,99272,0,false,true,1704139793,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00358,order_2024_H1_00358,card,
pay_2024_H1_00377,payment,0,485449,485449,INR,8738,0,false,true,1704117403,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00377,order_2024_H1_00377,upi,
pay_2024_H1_00414,payment,0,4590953,4590953,INR,82637,0,false,true,1704117948,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00414,order_2024_H1_00414,card,
pay_2024_H1_00450,payment,0,391577,391577,INR,7048,0,false,true,1704119946,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00450,order_2024_H1_00450,upi,
pay_2024_H1_00484,payment,0,467207,467207,INR,8410,0,false,true,1704149926,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00484,order_2024_H1_00484,wallet,
pay_2024_H1_00494,payment,0,182161,182161,INR,3279,0,false,true,1704095268,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00494,order_2024_H1_00494,card,
pay_2024_H1_00524,payment,0,926488,926488,INR,16677,0,false,true,1704151042,1704186000,set_2024_H1_00001,UTR2024H100001,pay_2024_H1_00524,order_2024_H1_00524,card,
