id,entity,amount,currency,status,order_id,invoice_id,description,method,captured,refund_status,amount_refunded,fee,tax,created_at,created_date,contract_fee_rate,applied_fee_rate,anomaly_type,base_fee
pay_2026_H1_00058,payment,163710,INR,captured,order_2026_H1_00058,inv_2026_H1_00058,Seasonal festival purchase,upi,true,null,0,3765,0,1767251003,2026-01-01,0.018,0.023,fee_rate_increase,29.47
pay_2026_H1_00199,payment,188064,INR,captured,order_2026_H1_00199,inv_2026_H1_00199,Personal care products,upi,true,null,0,4325,0,1767251956,2026-01-01,0.018,0.023,fee_rate_increase,33.85
pay_2026_H1_00353,payment,3629727,INR,captured,order_2026_H1_00353,inv_2026_H1_00353,Baby & kids care set,card,true,null,0,83484,0,1767251986,2026-01-01,0.018,0.023,fee_rate_increase,653.35
pay_2026_H1_03049,payment,171025,INR,captured,order_2026_H1_03049,inv_2026_H1_03049,Fashion & apparel order,card,true,null,0,3078,0,1767252068,2026-01-01,0.018,0.018,,30.78
pay_2026_H1_02688,payment,4491247,INR,captured,order_2026_H1_02688,inv_2026_H1_02688,Pet care supplies,upi,true,null,0,80842,0,1767252986,2026-01-01,0.018,0.018,,808.42
pay_2026_H1_03042,payment,393849,INR,captured,order_2026_H1_03042,inv_2026_H1_03042,Office lifestyle gear,card,true,null,0,7089,0,1767253005,2026-01-01,0.018,0.018,,70.89
pay_2026_H1_01673,payment,1861742,INR,captured,order_2026_H1_01673,inv_2026_H1_01673,Online lifestyle order,card,true,null,0,33511,0,1767253216,2026-01-01,0.018,0.018,,335.11
pay_2026_H1_01493,payment,822249,INR,captured,order_2026_H1_01493,inv_2026_H1_01493,Electronics accessories pack,card,true,null,0,14800,0,1767253707,2026-01-01,0.018,0.018,,148.00
pay_2026_H1_01111,payment,2886740,INR,captured,order_2026_H1_01111,inv_2026_H1_01111,Health & wellness kit,netbanking,true,null,0,51961,0,1767253943,2026-01-01,0.018,0.018,,519.61
pay_2026_H1_00453,payment,376395,INR,captured,order_2026_H1_00453,inv_2026_H1_00453,Books & premium stationery,upi,true,null,0,8657,0,1767254450,2026-01-01,0.018,0.023,fee_rate_increase,67.75
pay_2026_H1_02005,payment,1457000,INR,captured,order_2026_H1_02005,inv_2026_H1_02005,Fitness & sports equipment,card,true,null,0,26226,0,1767254597,2026-01-01,0.018,0.018,,262.26
pay_2026_H1_01121,payment,1873438,INR,captured,order_2026_H1_01121,inv_2026_H1_01121,Home decor purchase,upi,true,null,0,33722,0,1767255198,2026-01-01,0.018,0.018,,337.22
pay_2026_H1_01664,payment,371623,INR,captured,order_2026_H1_01664,inv_2026_H1_01664,Home decor purchase,upi,true,null,0,6689,0,1767255410,2026-01-01,0.018,0.018,,66.89
pay_2026_H1_01505,payment,12071166,INR,captured,order_2026_H1_01505,inv_2026_H1_01505,Fashion & apparel order,upi,true,null,0,217281,0,1767256428,2026-01-01,0.018,0.018,,2172.81
pay_2026_H1_00059,payment,361343,INR,captured,order_2026_H1_00059,inv_2026_H1_00059,Fitness & sports equipment,upi,true,null,0,8311,0,1767258990,2026-01-01,0.018,0.023,fee_rate_increase,65.04
pay_2026_H1_01463,payment,286386,INR,captured,order_2026_H1_01463,inv_2026_H1_01463,Online lifestyle order,card,true,null,0,5155,0,1767260574,2026-01-01,0.018,0.018,,51.55
pay_2026_H1_00467,payment,381699,INR,captured,order_2026_H1_00467,inv_2026_H1_00467,Pet care supplies,card,true,null,0,8779,0,1767261815,2026-01-01,0.018,0.023,fee_rate_increase,68.71
pay_2026_H1_03023,payment,731238,INR,captured,order_2026_H1_03023,inv_2026_H1_03023,Online lifestyle order,card,true,null,0,13162,0,1767262161,2026-01-01,0.018,0.018,,131.62
pay_2026_H1_00551,payment,616726,INR,captured,order_2026_H1_00551,inv_2026_H1_00551,Online lifestyle order,upi,true,null,0,14185,0,1767263575,2026-01-01,0.018,0.023,fee_rate_increase,111.01
pay_2026_H1_02926,payment,16849254,INR,captured,order_2026_H1_02926,inv_2026_H1_02926,Subscription box package,upi,true,null,0,303287,0,1767264002,2026-01-01,0.018,0.018,,3032.87
