id,entity,amount,currency,payment_id,created_at,created_date,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_2026_H1_001,refund,2140000,INR,pay_2026_H1_00005,1779703200,2026-05-25,rcpt_2026_H1_rf_001,processed,normal,normal,UTR_2026_H1_RF_001,,
rfnd_2026_H1_002,refund,2140000,INR,pay_2026_H1_00005,1779890400,2026-05-27,rcpt_2026_H1_rf_002,processed,normal,normal,UTR_2026_H1_RF_002,duplicate_refund,rfnd_2026_H1_001
rfnd_2026_H1_003,refund,534400,INR,pay_2026_H1_15363,1779784822,2026-05-26,rcpt_2026_H1_rf_003,processed,normal,normal,UTR_2026_H1_RF_003,,
rfnd_2026_H1_004,refund,460800,INR,pay_2026_H1_14269,1778763021,2026-05-14,rcpt_2026_H1_rf_004,processed,normal,normal,UTR_2026_H1_RF_004,,
rfnd_2026_H1_005,refund,1220500,INR,pay_2026_H1_11382,1778272244,2026-05-08,rcpt_2026_H1_rf_005,processed,normal,normal,UTR_2026_H1_RF_005,,
rfnd_2026_H1_006,refund,114900,INR,pay_2026_H1_19391,1782176013,2026-06-23,rcpt_2026_H1_rf_006,processed,normal,normal,UTR_2026_H1_RF_006,,
rfnd_2026_H1_007,refund,1017700,INR,pay_2026_H1_09473,1773646251,2026-03-16,rcpt_2026_H1_rf_007,processed,normal,normal,UTR_2026_H1_RF_007,,
rfnd_2026_H1_008,refund,124700,INR,pay_2026_H1_09218,1775367715,2026-04-05,rcpt_2026_H1_rf_008,processed,normal,normal,UTR_2026_H1_RF_008,,
rfnd_2026_H1_009,refund,639800,INR,pay_2026_H1_03912,1771134986,2026-02-15,rcpt_2026_H1_rf_009,processed,normal,normal,UTR_2026_H1_RF_009,,
rfnd_2026_H1_010,refund,884800,INR,pay_2026_H1_02758,1767890876,2026-01-08,rcpt_2026_H1_rf_010,processed,normal,normal,UTR_2026_H1_RF_010,,
rfnd_2026_H1_011,refund,316300,INR,pay_2026_H1_03266,1770969571,2026-02-13,rcpt_2026_H1_rf_011,processed,normal,normal,UTR_2026_H1_RF_011,,
rfnd_2026_H1_012,refund,1076100,INR,pay_2026_H1_05865,1771995305,2026-02-25,rcpt_2026_H1_rf_012,processed,normal,normal,UTR_2026_H1_RF_012,,
rfnd_2026_H1_013,refund,2792700,INR,pay_2026_H1_20427,1780616400,2026-06-04,rcpt_2026_H1_rf_013,processed,normal,normal,UTR_2026_H1_RF_013,,
rfnd_2026_H1_014,refund,42800,INR,pay_2026_H1_17849,1782967184,2026-07-02,rcpt_2026_H1_rf_014,processed,normal,normal,UTR_2026_H1_RF_014,,
rfnd_2026_H1_015,refund,203100,INR,pay_2026_H1_15417,1780724750,2026-06-06,rcpt_2026_H1_rf_015,processed,normal,normal,UTR_2026_H1_RF_015,,
rfnd_2026_H1_016,refund,7084900,INR,pay_2026_H1_13758,1777117858,2026-04-25,rcpt_2026_H1_rf_016,processed,normal,normal,UTR_2026_H1_RF_016,,
rfnd_2026_H1_017,refund,142300,INR,pay_2026_H1_19360,1783284512,2026-07-05,rcpt_2026_H1_rf_017,processed,normal,normal,UTR_2026_H1_RF_017,,
rfnd_2026_H1_018,refund,294500,INR,pay_2026_H1_08695,1775010741,2026-04-01,rcpt_2026_H1_rf_018,processed,normal,normal,UTR_2026_H1_RF_018,,
rfnd_2026_H1_019,refund,1134400,INR,pay_2026_H1_03305,1771941626,2026-02-24,rcpt_2026_H1_rf_019,processed,normal,normal,UTR_2026_H1_RF_019,,
rfnd_2026_H1_020,refund,191100,INR,pay_2026_H1_08365,1775509083,2026-04-06,rcpt_2026_H1_rf_020,processed,normal,normal,UTR_2026_H1_RF_020,,
rfnd_2026_H1_021,refund,1833300,INR,pay_2026_H1_18466,1783305040,2026-07-06,rcpt_2026_H1_rf_021,processed,normal,normal,UTR_2026_H1_RF_021,,
rfnd_2026_H1_022,refund,4929100,INR,pay_2026_H1_17009,1781285145,2026-06-12,rcpt_2026_H1_rf_022,processed,normal,normal,UTR_2026_H1_RF_022,,
rfnd_2026_H1_023,refund,3149600,INR,pay_2026_H1_01189,1769644294,2026-01-28,rcpt_2026_H1_rf_023,processed,normal,normal,UTR_2026_H1_RF_023,,
rfnd_2026_H1_024,refund,297800,INR,pay_2026_H1_19038,1782142812,2026-06-22,rcpt_2026_H1_rf_024,processed,normal,normal,UTR_2026_H1_RF_024,,
rfnd_2026_H1_025,refund,81200,INR,pay_2026_H1_17965,1781325321,2026-06-13,rcpt_2026_H1_rf_025,processed,normal,normal,UTR_2026_H1_RF_025,,
rfnd_2026_H1_026,refund,59100,INR,pay_2026_H1_06970,1774978029,2026-03-31,rcpt_2026_H1_rf_026,processed,normal,normal,UTR_2026_H1_RF_026,,
rfnd_2026_H1_027,refund,255100,INR,pay_2026_H1_09811,1774042167,2026-03-20,rcpt_2026_H1_rf_027,processed,normal,normal,UTR_2026_H1_RF_027,,
