bank_credit_id,settlement_id,utr,credit_date,amount,currency,bank_status,reference
bc_2026_H2_00001,set_2026_H2_00001,UTR2026H200001,2026-07-02,161815883,INR,credited,ICICI/UTR2026H200001
bc_2026_H2_00002,set_2026_H2_00002,UTR2026H200002,2026-07-03,180269910,INR,credited,ICICI/UTR2026H200002
bc_2026_H2_00003,set_2026_H2_00003,UTR2026H200003,2026-07-04,211191423,INR,credited,ICICI/UTR2026H200003
bc_2026_H2_00004,set_2026_H2_00004,UTR2026H200004,2026-07-05,244142876,INR,credited,ICICI/UTR2026H200004
bc_2026_H2_00005,set_2026_H2_00005,UTR2026H200005,2026-07-06,214578102,INR,credited,ICICI/UTR2026H200005
bc_2026_H2_00006,set_2026_H2_00006,UTR2026H200006,2026-07-07,186641017,INR,credited,ICICI/UTR2026H200006
bc_2026_H2_00007,set_2026_H2_00007,UTR2026H200007,2026-07-08,190354072,INR,credited,ICICI/UTR2026H200007
bc_2026_H2_00008,set_2026_H2_00008,UTR2026H200008,2026-07-09,171204476,INR,credited,ICICI/UTR2026H200008
bc_2026_H2_00009,set_2026_H2_00009,UTR2026H200009,2026-07-10,240482168,INR,credited,ICICI/UTR2026H200009
bc_2026_H2_00010,set_2026_H2_00010,UTR2026H200010,2026-07-11,234819901,INR,credited,ICICI/UTR2026H200010
bc_2026_H2_00011,set_2026_H2_00011,UTR2026H200011,2026-07-12,289963162,INR,credited,ICICI/UTR2026H200011
bc_2026_H2_00012,set_2026_H2_00012,UTR2026H200012,2026-07-13,266737882,INR,credited,ICICI/UTR2026H200012
bc_2026_H2_00013,set_2026_H2_00013,UTR2026H200013,2026-07-14,178160271,INR,credited,ICICI/UTR2026H200013
bc_2026_H2_00014,set_2026_H2_00014,UTR2026H200014,2026-07-15,220515998,INR,credited,ICICI/UTR2026H200014
bc_2026_H2_00015,set_2026_H2_00015,UTR2026H200015,2026-07-16,174663847,INR,credited,ICICI/UTR2026H200015
bc_2026_H2_00016,set_2026_H2_00016,UTR2026H200016,2026-07-17,186132163,INR,credited,ICICI/UTR2026H200016
bc_2026_H2_00017,set_2026_H2_00017,UTR2026H200017,2026-07-18,288967856,INR,credited,ICICI/UTR2026H200017
bc_2026_H2_00018,set_2026_H2_00018,UTR2026H200018,2026-07-19,186625577,INR,credited,ICICI/UTR2026H200018
bc_2026_H2_00019,set_2026_H2_00019,UTR2026H200019,2026-07-20,220748473,INR,credited,ICICI/UTR2026H200019
bc_2026_H2_00020,set_2026_H2_00020,UTR2026H200020,2026-07-21,146768373,INR,credited,ICICI/UTR2026H200020
bc_2026_H2_00022,set_2026_H2_00022,UTR2026H200022,2026-07-23,210194323,INR,credited,ICICI/UTR2026H200022
bc_2026_H2_00023,set_2026_H2_00023,UTR2026H200023,2026-07-24,243378224,INR,credited,ICICI/UTR2026H200023
bc_2026_H2_00024,set_2026_H2_00024,UTR2026H200024,2026-07-25,219283227,INR,credited,ICICI/UTR2026H200024
bc_2026_H2_00025,set_2026_H2_00025,UTR2026H200025,2026-07-26,184389267,INR,credited,ICICI/UTR2026H200025
bc_2026_H2_00026,set_2026_H2_00026,UTR2026H200026,2026-07-27,193073017,INR,credited,ICICI/UTR2026H200026
bc_2026_H2_00027,set_2026_H2_00027,UTR2026H200027,2026-07-28,211390924,INR,credited,ICICI/UTR2026H200027
bc_2026_H2_00028,set_2026_H2_00028,UTR2026H200028,2026-07-29,191579689,INR,credited,ICICI/UTR2026H200028
bc_2026_H2_00029,set_2026_H2_00029,UTR2026H200029,2026-07-30,206969128,INR,credited,ICICI/UTR2026H200029
bc_2026_H2_00030,set_2026_H2_00030,UTR2026H200030,2026-07-31,222892692,INR,credited,ICICI/UTR2026H200030
bc_2026_H2_00031,set_2026_H2_00031,UTR2026H200031,2026-08-01,225893228,INR,credited,ICICI/UTR2026H200031
bc_2026_H2_00032,set_2026_H2_00032,UTR2026H200032,2026-08-02,265626887,INR,credited,ICICI/UTR2026H200032
